u,x,dx,ddx
2.25578,46.28,345.37,1031.4
2.25236,46.636,346.251,1015.8
2.24873,46.992,347.039,992.514
2.24568,47.348,347.751,963.911
2.24256,47.708,348.795,971.485
2.2383,48.068,349.732,967.471
2.23456,48.432,350.973,994.331
2.22965,48.792,351.69,966.028
2.22604,49.156,352.737,973.695
2.22184,49.52,353.678,969.914
2.2173,49.888,354.921,996.615
2.21215,50.252,355.64,968.329
2.20836,50.62,356.689,975.979
2.20336,50.984,357.233,932.207
2.19961,51.352,358.119,927.091
2.19493,51.72,358.916,913.589
2.19051,52.092,360.037,933.833
2.18489,52.464,361.042,940.483
2.1795,52.832,361.545,896.237
2.17566,53.204,362.4,891.622
2.17033,53.576,363.168,878.789
2.16541,53.948,363.859,859.566
2.16065,54.324,364.879,875.114
2.15482,54.696,365.398,839.088
2.15016,55.068,365.866,801.502
2.1456,55.444,366.687,803.08
2.14018,55.82,367.421,795.75
2.1346,56.196,368.085,782.159
2.12941,56.572,368.684,763.338
2.12412,56.952,369.62,780.269
2.11822,57.328,370.061,745.886
2.11299,57.708,370.859,750.726
2.10706,58.088,371.58,747.354
2.10111,58.468,372.225,736.683
2.09524,58.844,372.404,680.522
2.09078,59.224,372.967,668.43
2.0849,59.604,373.473,651.885
2.07931,59.988,374.329,671.912
2.07277,60.368,374.697,641.225
2.06745,60.752,375.427,649.742
2.06101,61.132,375.687,610.444
2.05567,61.516,376.321,612.408
2.0491,61.9,376.889,607.693
2.04298,62.28,376.999,557.592
2.03769,62.664,377.502,551.851
2.03162,63.048,377.956,541.718
2.02518,63.432,378.357,527.418
2.01915,63.82,379.122,550.862
2.01208,64.204,379.411,524.363
2.0062,64.588,379.671,497.702
2.00014,64.976,380.301,510.683
1.99318,65.36,380.469,476.151
1.98706,65.744,380.622,443.513
1.98097,66.132,381.16,452.752
1.97419,66.52,381.64,455.281
1.96696,66.908,382.075,452.95
1.96031,67.296,382.467,446.614
1.95327,67.684,382.819,436.889
1.94663,68.072,383.12,423.112
1.93973,68.46,383.404,408.989
1.93298,68.844,383.261,353.53
1.92748,69.232,383.533,345.258
1.92044,69.616,383.374,294.628
1.9148,70.004,383.634,290.94
1.90754,70.388,383.469,245.194
1.90161,70.776,383.72,245.647
1.89461,71.16,383.544,203.384
1.88854,71.548,383.785,207.059
1.88155,71.932,383.605,168.263
