u,x,dx,ddx
6.9931,33.88,321.151,1939.71
6.9982,34.22,322.866,1916.2
7.0042,34.568,325.209,1957.87
7.00483,34.912,326.913,1931.46
7.01117,35.26,328.85,1930.93
7.01468,35.612,330.991,1950.98
7.01619,35.964,332.916,1947.32
7.01934,36.316,334.645,1924.44
7.02412,36.672,336.605,1926.98
7.02673,37.032,338.765,1949.31
7.02692,37.392,340.71,1947.85
7.02891,37.756,342.856,1966.6
7.02892,38.12,344.787,1961.97
7.03058,38.484,346.526,1938.63
7.03385,38.848,348.091,1900.25
7.03818,39.22,350.295,1929.65
7.03657,39.588,351.881,1894.26
7.04035,39.96,353.707,1886.42
7.0415,40.332,355.351,1861.12
7.04413,40.708,357.226,1861.54
7.04444,41.084,358.916,1843.41
7.04632,41.464,360.836,1850.15
7.04565,41.844,362.564,1836.9
7.04617,42.228,364.512,1847.07
7.04517,42.616,366.665,1876.71
7.04151,43.004,368.607,1882.2
7.0396,43.392,370.353,1867.57
7.03954,43.784,372.318,1876.31
7.03665,44.172,373.689,1824.79
7.03892,44.568,375.723,1844.82
7.03547,44.964,377.555,1842.5
7.03334,45.364,379.597,1861.51
7.02877,45.764,381.437,1858.31
7.02585,46.168,383.492,1877.04
7.02116,46.572,385.339,1873.05
7.01744,46.976,386.997,1850.54
7.01521,47.384,388.891,1853.93
7.01108,47.796,390.997,1878.16
7.00422,48.204,392.491,1838.69
7.00262,48.62,394.633,1868.07
6.99543,49.032,396.161,1833.11
6.99318,49.448,397.936,1826.32
6.98825,49.868,399.934,1842.45
6.9812,50.288,401.726,1836.47
6.97608,50.708,403.341,1813.3
6.97206,51.132,405.195,1816.46
6.96542,51.56,407.262,1840.54
6.95706,51.984,408.716,1800.93
6.9532,52.412,410.427,1791.01
6.94733,52.844,412.372,1805.43
6.93856,53.276,414.117,1798.46
6.93205,53.712,416.086,1814.51
6.92267,54.148,417.856,1809.18
6.91488,54.588,419.853,1826.97
6.9053,55.024,421.247,1782.73
6.90053,55.468,423.296,1808.4
6.88941,55.912,425.141,1811.11
6.88028,56.36,427.205,1835.38
6.86872,56.808,429.059,1836.36
6.85846,57.256,430.724,1818.24
6.84971,57.708,432.622,1825.22
6.83909,58.16,434.334,1812.91
6.82963,58.612,435.87,1784.27
6.82083,59.068,437.65,1782.92
6.81043,59.524,439.254,1764.11
6.80108,59.984,441.096,1770.94
6.78912,60.444,442.753,1758.63
6.77829,60.908,444.641,1770.63
6.76595,61.372,446.343,1762.74
6.75404,61.836,447.873,1738.6
6.74386,62.304,449.651,1741.6
6.73136,62.772,451.244,1725.81
6.71954,63.24,452.682,1696.08
6.70938,63.712,454.376,1694.98
6.6961,64.184,455.898,1676.8
6.68492,64.66,457.665,1684.91
6.67065,65.14,459.656,1714.68
6.6539,65.616,461.051,1681.81
6.64304,66.096,462.701,1677.74
6.62899,66.58,464.584,1697.38
6.61236,67.064,466.281,1696.4
6.59799,67.548,467.807,1678.45
6.58386,68.032,469.179,1646.97
6.57097,68.524,471.212,1684.73
6.55243,69.012,472.639,1658.03
6.53876,69.5,473.927,1620.15
6.52583,69.992,475.485,1613.04
6.51038,70.488,477.284,1630.84
6.49302,70.98,478.501,1588.57
6.4799,71.476,480.001,1578.87
6.46385,71.976,481.751,1595.19
6.44582,72.472,482.917,1551.45
6.43279,72.972,484.371,1540.83
6.41636,73.472,485.68,1516.8
6.40111,73.976,487.258,1522.13
6.38337,74.48,488.672,1510.51
6.36693,74.988,490.345,1526.02
6.34765,75.492,491.452,1483.28
6.33329,76.004,493.249,1513.88
6.31275,76.512,494.461,1482.86
6.29678,77.024,495.953,1483.06
6.27788,77.536,497.298,1468.41
6.2602,78.048,498.506,1441.61
6.24364,78.568,500.373,1483.37
6.22051,79.084,501.67,1463.89
6.20286,79.6,502.837,1433.46
6.18619,80.12,504.289,1434.59
6.16583,80.64,505.59,1420.4
6.14705,81.164,507.163,1434.9
6.12533,81.684,508.18,1392.37
6.10809,82.208,509.494,1383.82
6.08811,82.736,511.074,1402.71
6.06605,83.26,512.094,1363.72
6.04802,83.788,513.416,1358.83
6.02727,84.32,515.006,1381.19
6.00408,84.852,516.431,1384.88
5.98172,85.384,517.714,1373.93
5.96017,85.92,519.271,1391.51
5.9361,86.452,520.272,1351.73
5.91726,86.988,521.565,1345.13
5.89487,87.528,523.132,1366.63
5.86997,88.068,524.541,1370.16
5.8464,88.608,525.811,1359.41
5.82387,89.152,527.348,1376.39
5.7981,89.692,528.33,1336.27
5.77792,90.232,529.22,1290.91
5.75772,90.776,530.419,1281.07
5.73433,91.32,531.497,1260.06
5.71191,91.864,532.465,1230.14
5.6908,92.412,533.738,1233.82
5.66609,92.964,535.284,1264.34
5.63886,93.512,536.267,1235.56
5.61687,94.06,537.157,1200.4
5.59485,94.612,538.36,1200.01
5.57,95.168,539.841,1227.49
5.54221,95.72,540.769,1196.86
5.51961,96.272,541.608,1160.46
5.4973,96.828,542.762,1159.17
5.47175,97.388,544.201,1186.54
5.44402,97.944,545.088,1155.99
5.42053,98.504,546.291,1160.07
5.39386,99.06,546.973,1111.68
5.37173,99.62,547.988,1101.36
5.34667,100.18,548.896,1081.5
5.32196,100.744,550.119,1095
5.29444,101.304,550.82,1055.08
5.27154,101.864,551.445,1011.54
5.24874,102.428,552.406,1005.95
5.22254,102.996,553.655,1029.63
5.194,103.56,554.396,1000.2
5.16957,104.128,555.448,1004.89
5.14228,104.696,556.404,999.417
5.115,105.26,556.869,945.44
5.09244,105.832,558.087,972.255
5.06322,106.404,559.186,984.39
5.03415,106.976,560.166,983.431
5.00597,107.548,561.056,973.551
4.97905,108.12,561.853,955.327
4.95235,108.696,562.974,971.425
4.9224,109.268,563.574,933.808
4.89655,109.844,564.516,934.137
4.8681,110.42,565.368,925.415
4.84028,110.996,566.135,909.064
4.81244,111.572,566.815,885.654
4.78567,112.152,567.833,898.453
4.75542,112.728,568.352,859.993
4.7292,113.304,568.818,820.141
4.70386,113.884,569.629,818.785
4.67484,114.464,570.364,809.983
4.64614,115.044,571.026,794.792
4.61804,115.624,571.624,774.637
4.59059,116.208,572.552,789.64
4.55956,116.788,572.994,754.417
4.53286,117.372,573.792,758.411
4.50306,117.956,574.506,753.554
4.47306,118.544,575.396,766.59
4.44146,119.128,575.955,745.393
4.41276,119.716,576.856,760.612
4.38106,120.3,577.259,724.362
4.35315,120.888,578.027,728.385
4.32202,121.472,578.323,684.752
4.29473,122.06,578.988,682.473
4.26422,122.648,579.579,672.901
4.23411,123.236,580.116,659
4.20414,123.824,580.6,641.1
4.17507,124.416,581.435,660.175
4.14161,125.004,581.781,628.383
4.11311,125.596,582.497,636.823
4.08063,126.184,582.741,597.252
4.05276,126.776,583.358,598.912
4.02067,127.364,583.513,554.132
3.99301,127.956,584.052,552.326
3.96167,128.548,584.538,545.477
3.93063,129.136,584.579,494.66
3.90319,129.728,585.006,487.651
3.87235,130.32,585.391,477.105
3.84135,130.912,585.743,464.411
3.81068,131.508,586.46,489.412
3.77639,132.1,586.697,463.931
3.74707,132.692,586.918,439.407
3.71673,133.284,587.116,414.978
3.68693,133.88,587.696,431.255
3.6535,134.472,587.814,399.7
3.62395,135.068,588.32,410.155
3.59059,135.66,588.379,374.752
3.56132,136.256,588.827,381.908
3.52804,136.848,588.826,343.446
3.49833,137.44,588.833,309.622
3.46911,138.036,589.237,318.879
3.43547,138.632,589.605,323.595
3.40217,139.224,589.531,283.709
3.37238,139.82,589.867,288.731
3.33946,140.412,589.77,250.049
3.30985,141.008,590.083,256.178
3.27591,141.604,590.356,257.79
3.2427,142.196,590.209,217.152
3.21277,142.792,590.477,222.08
3.17881,143.388,590.719,223.952
3.14508,143.98,590.531,182.677
3.11523,144.576,590.763,187.531
3.08117,145.172,590.976,189.931
3.04695,145.768,591.167,189.912
3.01338,146.36,590.93,147.159
2.98266,146.956,591.124,151.776
2.94785,147.548,590.899,114.007
2.91724,148.144,591.098,122.428
2.88203,148.736,590.87,87.3763
2.85018,149.332,591.072,98.7564
